movie_rank,movie_title,year,director,synopsis,critic_id,star_rating,review_text,review_char_len,review_word_len,true_label,pred_label,pred_score,pred_label_thresh,review_len,review_word_count,emoji_count,has_emoji,caps_ratio,has_url,exclam_count,question_count,language,alpha_ratio,low_text_content
0,Harakiri,1962,Masaki Kobayashi,"Down-on-his-luck veteran Tsugumo Hanshirō enters the courtyard of the prosperous House of Iyi. Unemployed, and with no family, he hopes to find a place to commit seppuku—and a worthy second to deliver the coup de grâce in his suicide ritual. The senior counselor for the Iyi clan questions the ronin’s resolve and integrity, suspecting Hanshirō of seeking charity rather than an honorable end. What follows is a pair of interlocking stories which lay bare the difference between honor and respect, and promises to examine the legendary foundations of the Samurai code.",1,5.0,honor in the individual is virtue honor in a society is madness,63,12,positive,negative,0.4902910888195038,neutral,63,12,0,False,0.0,False,0,0,en,0.8253968253968254,False
0,Harakiri,1962,Masaki Kobayashi,"Down-on-his-luck veteran Tsugumo Hanshirō enters the courtyard of the prosperous House of Iyi. Unemployed, and with no family, he hopes to find a place to commit seppuku—and a worthy second to deliver the coup de grâce in his suicide ritual. The senior counselor for the Iyi clan questions the ronin’s resolve and integrity, suspecting Hanshirō of seeking charity rather than an honorable end. What follows is a pair of interlocking stories which lay bare the difference between honor and respect, and promises to examine the legendary foundations of the Samurai code.",2,4.5,"Firstly, I must apologise for holding off on this for so long. This is remarkable. It’s a film that raises a lot of issues about whether fervent loyalty to the code of honour is more valuable than humanity. And how that is unjustifiable. The execution is masterful, and the pay-off is even better. The resolution is entirely cathartic. It’s also incredibly well-choreographed, touching, and surprisingly exciting. I do think that I will need another watch in order to fully digest everything, though.",500,86,positive,positive,0.8529490232467651,positive,500,82,0,False,0.024875621890547265,False,0,0,en,0.804,False
0,Harakiri,1962,Masaki Kobayashi,"Down-on-his-luck veteran Tsugumo Hanshirō enters the courtyard of the prosperous House of Iyi. Unemployed, and with no family, he hopes to find a place to commit seppuku—and a worthy second to deliver the coup de grâce in his suicide ritual. The senior counselor for the Iyi clan questions the ronin’s resolve and integrity, suspecting Hanshirō of seeking charity rather than an honorable end. What follows is a pair of interlocking stories which lay bare the difference between honor and respect, and promises to examine the legendary foundations of the Samurai code.",3,5.0,"God damn what an impeccable film. Not dated in the least, if you tried to tell this same story now, 60 years later, this would still be the best way to tell it, shot for shot, line for line.I sometimes get intimidated by the fact that there is so much great film, both past and present, that I could never find time to see it all. Japan alone has way too many incredible filmmakers with extensive filmographies I’ve barely scraped the surface of. I don’t know what was in the water over there throughout the 20th century, but it must’ve been good.",547,106,positive,positive,0.8682183027267456,positive,547,102,0,False,0.01643192488262911,False,0,0,en,0.7787934186471663,False
0,Harakiri,1962,Masaki Kobayashi,"Down-on-his-luck veteran Tsugumo Hanshirō enters the courtyard of the prosperous House of Iyi. Unemployed, and with no family, he hopes to find a place to commit seppuku—and a worthy second to deliver the coup de grâce in his suicide ritual. The senior counselor for the Iyi clan questions the ronin’s resolve and integrity, suspecting Hanshirō of seeking charity rather than an honorable end. What follows is a pair of interlocking stories which lay bare the difference between honor and respect, and promises to examine the legendary foundations of the Samurai code.",4,5.0,"Probably the greatest film ever.. a film about honour, valour, poverty, hunger , justice and the politics.. a fable that is as relevant today as when it was made.. totally blown",177,30,positive,positive,0.9507757425308228,positive,177,31,0,False,0.0072992700729927005,False,0,0,en,0.7740112994350282,False
0,Harakiri,1962,Masaki Kobayashi,"Down-on-his-luck veteran Tsugumo Hanshirō enters the courtyard of the prosperous House of Iyi. Unemployed, and with no family, he hopes to find a place to commit seppuku—and a worthy second to deliver the coup de grâce in his suicide ritual. The senior counselor for the Iyi clan questions the ronin’s resolve and integrity, suspecting Hanshirō of seeking charity rather than an honorable end. What follows is a pair of interlocking stories which lay bare the difference between honor and respect, and promises to examine the legendary foundations of the Samurai code.",5,5.0,"Immediately pulls you in with its captivating simultaneous story-telling, which rings of mystery and intrigue as the plot thickens and builds. There’s so much beauty in intimate and heartbreaking dialogue, and this films display of powerful rhetoric, equally as thoughtful as it can be emotionally jarring, is absolute class. Everything builds as an eerie and heart-pounding score adds layers of uncertainty to an already nervous experience. This all builds to our final few sequences which mesmerized me and solidified Harakiri as not only the greatest samurai film ever made, but one of the best films ever made.",614,100,positive,positive,0.8881591558456421,positive,614,97,0,False,0.009881422924901186,False,0,0,en,0.8241042345276873,False
0,Harakiri,1962,Masaki Kobayashi,"Down-on-his-luck veteran Tsugumo Hanshirō enters the courtyard of the prosperous House of Iyi. Unemployed, and with no family, he hopes to find a place to commit seppuku—and a worthy second to deliver the coup de grâce in his suicide ritual. The senior counselor for the Iyi clan questions the ronin’s resolve and integrity, suspecting Hanshirō of seeking charity rather than an honorable end. What follows is a pair of interlocking stories which lay bare the difference between honor and respect, and promises to examine the legendary foundations of the Samurai code.",6,5.0,"""Who can fathom the depths of another man's heart?""",51,10,positive,neutral,0.5864078998565674,neutral,51,9,0,False,0.02564102564102564,False,0,1,en,0.7647058823529411,False
0,Harakiri,1962,Masaki Kobayashi,"Down-on-his-luck veteran Tsugumo Hanshirō enters the courtyard of the prosperous House of Iyi. Unemployed, and with no family, he hopes to find a place to commit seppuku—and a worthy second to deliver the coup de grâce in his suicide ritual. The senior counselor for the Iyi clan questions the ronin’s resolve and integrity, suspecting Hanshirō of seeking charity rather than an honorable end. What follows is a pair of interlocking stories which lay bare the difference between honor and respect, and promises to examine the legendary foundations of the Samurai code.",7,5.0,"wait can we normalize calling something you’ve only seen once, your favorite movie of all time?",95,17,positive,neutral,0.7638421058654785,neutral,95,16,0,False,0.0,False,0,1,en,0.8105263157894737,False
0,Harakiri,1962,Masaki Kobayashi,"Down-on-his-luck veteran Tsugumo Hanshirō enters the courtyard of the prosperous House of Iyi. Unemployed, and with no family, he hopes to find a place to commit seppuku—and a worthy second to deliver the coup de grâce in his suicide ritual. The senior counselor for the Iyi clan questions the ronin’s resolve and integrity, suspecting Hanshirō of seeking charity rather than an honorable end. What follows is a pair of interlocking stories which lay bare the difference between honor and respect, and promises to examine the legendary foundations of the Samurai code.",8,5.0,"Went in with high expectations and boy were they fucking fulfilled. The word masterpiece is thrown around a lot, often too much, but in the case of Harakiri its 110% justified. Simply astonishing.",196,33,positive,positive,0.9320167899131775,positive,196,33,0,False,0.025806451612903226,False,0,0,en,0.7908163265306123,False
0,Harakiri,1962,Masaki Kobayashi,"Down-on-his-luck veteran Tsugumo Hanshirō enters the courtyard of the prosperous House of Iyi. Unemployed, and with no family, he hopes to find a place to commit seppuku—and a worthy second to deliver the coup de grâce in his suicide ritual. The senior counselor for the Iyi clan questions the ronin’s resolve and integrity, suspecting Hanshirō of seeking charity rather than an honorable end. What follows is a pair of interlocking stories which lay bare the difference between honor and respect, and promises to examine the legendary foundations of the Samurai code.",9,5.0,"it's frankly quite embarrassing how often I find myself at a loss for words, but it's a consolation to know that when this film is concerned, words probably wouldn't even come close to doing it justice anyway",208,40,positive,negative,0.8794941306114197,negative,208,37,0,False,0.005988023952095809,False,0,0,en,0.8028846153846154,False
0,Harakiri,1962,Masaki Kobayashi,"Down-on-his-luck veteran Tsugumo Hanshirō enters the courtyard of the prosperous House of Iyi. Unemployed, and with no family, he hopes to find a place to commit seppuku—and a worthy second to deliver the coup de grâce in his suicide ritual. The senior counselor for the Iyi clan questions the ronin’s resolve and integrity, suspecting Hanshirō of seeking charity rather than an honorable end. What follows is a pair of interlocking stories which lay bare the difference between honor and respect, and promises to examine the legendary foundations of the Samurai code.",10,5.0,"""...a man of some acquaintance to me.""my first masaki kobayashi film dares me to review it, knowing i cant. some shots tell more stories, reveal more history, and immortalize myths better than any scene involving dialogue ever could. i want my heart back, masaki kobayashi.",273,46,positive,positive,0.7855071425437927,positive,273,45,0,False,0.0,False,0,0,en,0.7912087912087912,False
0,Harakiri,1962,Masaki Kobayashi,"Down-on-his-luck veteran Tsugumo Hanshirō enters the courtyard of the prosperous House of Iyi. Unemployed, and with no family, he hopes to find a place to commit seppuku—and a worthy second to deliver the coup de grâce in his suicide ritual. The senior counselor for the Iyi clan questions the ronin’s resolve and integrity, suspecting Hanshirō of seeking charity rather than an honorable end. What follows is a pair of interlocking stories which lay bare the difference between honor and respect, and promises to examine the legendary foundations of the Samurai code.",11,5.0,a japanese action samurai movie about a dude trying to kill himself the director made this movie for me he told me himself!!,124,23,positive,neutral,0.4387410581111908,neutral,124,23,0,False,0.0,False,2,0,en,0.8064516129032258,False
0,Harakiri,1962,Masaki Kobayashi,"Down-on-his-luck veteran Tsugumo Hanshirō enters the courtyard of the prosperous House of Iyi. Unemployed, and with no family, he hopes to find a place to commit seppuku—and a worthy second to deliver the coup de grâce in his suicide ritual. The senior counselor for the Iyi clan questions the ronin’s resolve and integrity, suspecting Hanshirō of seeking charity rather than an honorable end. What follows is a pair of interlocking stories which lay bare the difference between honor and respect, and promises to examine the legendary foundations of the Samurai code.",12,5.0,Ain't got much to say here to be honest. It's just one of the greatest films ever made isn't it?If you've seen it then you know and if you haven't just do yourself a favour and go watch this classic.,199,46,positive,positive,0.8121522665023804,positive,199,40,0,False,0.019736842105263157,False,0,1,en,0.7638190954773869,False
0,Harakiri,1962,Masaki Kobayashi,"Down-on-his-luck veteran Tsugumo Hanshirō enters the courtyard of the prosperous House of Iyi. Unemployed, and with no family, he hopes to find a place to commit seppuku—and a worthy second to deliver the coup de grâce in his suicide ritual. The senior counselor for the Iyi clan questions the ronin’s resolve and integrity, suspecting Hanshirō of seeking charity rather than an honorable end. What follows is a pair of interlocking stories which lay bare the difference between honor and respect, and promises to examine the legendary foundations of the Samurai code.",13,4.5,Both Spider-verses are better than this94/100,45,8,positive,positive,0.7669331431388855,positive,45,6,0,False,0.06060606060606061,False,0,0,en,0.7333333333333333,False
0,Harakiri,1962,Masaki Kobayashi,"Down-on-his-luck veteran Tsugumo Hanshirō enters the courtyard of the prosperous House of Iyi. Unemployed, and with no family, he hopes to find a place to commit seppuku—and a worthy second to deliver the coup de grâce in his suicide ritual. The senior counselor for the Iyi clan questions the ronin’s resolve and integrity, suspecting Hanshirō of seeking charity rather than an honorable end. What follows is a pair of interlocking stories which lay bare the difference between honor and respect, and promises to examine the legendary foundations of the Samurai code.",14,5.0,"The resolve of the broken in the face of expiry. A partition of prestige veils the sanctimonious. One man willing to sacrifice his life for his own personal cause; Hanshirō dedicated everything to a morality that ruthlessly betrayed him, and in setting out to take his revenge, he reveals the moral hypocrisies of Bushidō, which prove to be more damning to his antagonists than any amount of malefic bloodshed he could inflict.But blood will be spilled. It will rain crimson at the feet of their Gods, and no attempts at swift concealment can ever suture the gaping wounds revealed by the truth.",595,103,positive,negative,0.665132999420166,negative,595,102,0,False,0.01652892561983471,False,0,0,en,0.8134453781512605,False
0,Harakiri,1962,Masaki Kobayashi,"Down-on-his-luck veteran Tsugumo Hanshirō enters the courtyard of the prosperous House of Iyi. Unemployed, and with no family, he hopes to find a place to commit seppuku—and a worthy second to deliver the coup de grâce in his suicide ritual. The senior counselor for the Iyi clan questions the ronin’s resolve and integrity, suspecting Hanshirō of seeking charity rather than an honorable end. What follows is a pair of interlocking stories which lay bare the difference between honor and respect, and promises to examine the legendary foundations of the Samurai code.",15,5.0,"How dare Masaki Kobayashi steal the climatic scene from Kill Bill without giving it credit? What a shameless man. This film should be avoided at all- just joking. Hara-kiri is japanese filmmaking at its best, fascinating use of lighting and music. 20 minutes in and I've already decided that this film is definitely going into my top 10 best films of all time list, exceeding both Seven Samurai and Rashomon. Going to give Takashi Miike's remake a try. I fucking love samurais, man.",482,86,positive,negative,0.47541138529777527,neutral,482,83,0,False,0.041884816753926704,False,0,1,en,0.7925311203319502,False
0,Harakiri,1962,Masaki Kobayashi,"Down-on-his-luck veteran Tsugumo Hanshirō enters the courtyard of the prosperous House of Iyi. Unemployed, and with no family, he hopes to find a place to commit seppuku—and a worthy second to deliver the coup de grâce in his suicide ritual. The senior counselor for the Iyi clan questions the ronin’s resolve and integrity, suspecting Hanshirō of seeking charity rather than an honorable end. What follows is a pair of interlocking stories which lay bare the difference between honor and respect, and promises to examine the legendary foundations of the Samurai code.",16,4.0,"Great movie but every time they name-dropped the ""Sengoku clan"" all I could think about was the one and only Nadeko Sengoku from the Monogatari seriesEdit: here's another gif cause why not 😌",190,34,positive,positive,0.9045642018318176,positive,190,33,1,True,0.046052631578947366,False,0,0,en,0.8,False
